,channel,note_midi_value,prior_midi_note,octave,note_name,prior_octave,prior_note_name,edge_count
0,0.0,52.0,60.0,4.0,E,5.0,C,1
1,0.0,55.0,62.0,4.0,C#,5.0,D,2
2,0.0,55.0,64.0,4.0,C#,5.0,E,5
3,0.0,60.0,62.0,5.0,C,5.0,D,3
4,0.0,62.0,55.0,5.0,D,4.0,C#,4
5,0.0,62.0,60.0,5.0,D,5.0,C,2
6,0.0,62.0,62.0,5.0,D,5.0,D,1
7,0.0,62.0,64.0,5.0,D,5.0,E,3
8,0.0,64.0,55.0,5.0,E,4.0,C#,2
9,0.0,64.0,62.0,5.0,E,5.0,D,4
10,0.0,64.0,64.0,5.0,E,5.0,E,3
11,0.0,64.0,67.0,5.0,E,5.0,C#,1
12,0.0,67.0,55.0,5.0,C#,4.0,C#,1
13,0.0,67.0,67.0,5.0,C#,5.0,C#,1
